wavelength_nm,FF495-Di03_AOI_47_CHA_0_Pol_A
432.8,0.011469306
433.0,0.011893629
433.2,0.012387505
433.4,0.012944245
433.6,0.013582279
433.8,0.014342213
434.0,0.015262645
434.2,0.016369189
434.4,0.01767373
434.6,0.019169277
434.8,0.020815649
435.0,0.022516918
435.2,0.024097625
435.4,0.025296909
435.6,0.025811221
435.8,0.025401771
436.0,0.024022083
436.2,0.021865309
436.4,0.019278718
436.6,0.01661422
436.8,0.01412368
437.0,0.011936633
437.2,0.010089222
437.4,0.0085639293
437.6,0.0073199582
437.8,0.0063110686
438.0,0.005494138
438.2,0.0048323473
438.4,0.0042957054
438.6,0.0038604637
438.8,0.0035082077
439.0,0.0032249786
439.2,0.003000587
439.4,0.0028281989
439.6,0.0027042772
439.8,0.0026290328
440.0,0.0026077179
440.2,0.0026534717
440.4,0.0027932123
440.6,0.003079467
440.8,0.0036117594
441.0,0.0045572353
441.2,0.0060553333
441.4,0.0076450364
441.6,0.0079639867
441.8,0.0069544754
442.0,0.0058189064
442.2,0.0050432313
442.4,0.0046034938
442.6,0.0044057012
442.8,0.004387636
443.0,0.0045206165
443.2,0.0047997505
443.4,0.0052365978
443.6,0.0058534988
443.8,0.0066760453
444.0,0.0077177468
444.2,0.0089481499
444.4,0.010239999
444.6,0.011322468
444.8,0.011829635
445.0,0.011513562
445.2,0.010456469
445.4,0.0090056118
445.6,0.0075148846
445.8,0.0061902713
446.0,0.0050986182
446.2,0.0042311632
446.4,0.0035520143
446.6,0.0030220114
446.8,0.0026073737
447.0,0.0022814927
447.2,0.0020242793
447.4,0.0018209404
447.6,0.0016608834
447.8,0.0015370084
448.0,0.0014456143
448.2,0.0013875158
448.4,0.0013725458
448.6,0.0014366458
448.8,0.0017173269
449.0,0.0026329482
449.2,0.0023225377
449.4,0.0014283904
449.6,0.0011805806
449.8,0.0011057926
450.0,0.0010880268
450.2,0.0010981475
450.4,0.0011275117
450.6,0.0011739375
450.8,0.0012380498
451.0,0.0013222663
451.2,0.0014306772
451.4,0.0015693848
451.6,0.0017472501
451.8,0.0019771858
452.0,0.0022783193
452.2,0.0026796594
452.4,0.0032264628
452.6,0.0039915736
452.8,0.0050959596
453.0,0.0067453533
453.2,0.00928804
453.4,0.013255251
453.6,0.01908466
453.8,0.025514443
454.0,0.027536449
454.2,0.022690798
454.4,0.015979837
454.6,0.010896773
454.8,0.0076110974
455.0,0.0055252408
455.2,0.0041674653
455.4,0.0032519948
455.6,0.002612997
455.8,0.0021529373
456.0,0.0018127192
456.2,0.0015553303
456.4,0.0013568367
456.6,0.0012013012
456.8,0.0010778286
457.0,0.00097879602
457.2,0.00089876067
457.4,0.00083376804
457.6,0.00078090291
457.8,0.00073799147
458.0,0.00070339988
458.2,0.00067589593
458.4,0.00065455282
458.6,0.00063868174
458.8,0.00062778481
459.0,0.00062152249
459.2,0.0006196921
459.4,0.00062221495
459.6,0.0006291308
459.8,0.00064059917
460.0,0.00065690725
460.2,0.00067848545
460.4,0.00070593181
460.6,0.00074004773
460.8,0.00078188879
461.0,0.0008328361
461.2,0.0008946969
461.4,0.00096984697
461.6,0.0010614349
461.8,0.0011736788
462.0,0.0013123051
462.2,0.001485209
462.4,0.0017034674
462.6,0.0019829276
462.8,0.002346749
463.0,0.002829548
463.2,0.0034842516
463.4,0.0043934175
463.6,0.0056872157
463.8,0.0075678137
464.0,0.010322355
464.2,0.014231257
464.4,0.019082921
464.6,0.023121486
464.8,0.023443138
465.0,0.01985835
465.2,0.015156438
465.4,0.011229242
465.6,0.0084016027
465.8,0.0064407087
466.0,0.0050743206
466.2,0.0041033484
466.4,0.0033970236
466.6,0.0028712918
466.8,0.0024717077
467.0,0.0021623528
467.2,0.001919011
467.4,0.0017249936
467.6,0.0015685567
467.8,0.001441275
468.0,0.0013369978
468.2,0.0012511635
468.4,0.0011803424
468.6,0.0011219252
468.8,0.0010739066
469.0,0.001034734
469.2,0.0010031986
469.4,0.0009783575
469.6,0.00095947636
469.8,0.00094598757
470.0,0.00093745961
470.2,0.00093357488
470.4,0.00093411454
470.6,0.00093894966
470.8,0.00094803939
471.0,0.00096143896
471.2,0.00097932499
471.4,0.0010020572
471.6,0.0010303283
471.8,0.0010655611
472.0,0.0011111278
472.2,0.0011770587
472.4,0.0013065463
472.6,0.0019011951
